mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_interactions,param_learning_rate,param_max_bins,param_max_rounds,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32.341955709457395,3.573116234535117,0.006864595413208008,0.0012793305324129082,10,0.01,128,5000,5,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.657070989126158,0.6708214945594526,0.6575922880398617,0.6483485250413867,0.6715644588373312,0.661079551120838,0.008889852078424543,37
33.38622121810913,3.2334795555959563,0.009866476058959961,0.00414256397885512,10,0.01,128,8000,2,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.657070989126158,0.6708214945594526,0.6575913814330552,0.6483485250413867,0.6715526729488475,0.66107701262178,0.008887143890330967,39
33.753429079055785,2.7182371031020325,0.006490564346313477,0.00025550915896519545,10,0.01,128,8000,5,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.657070989126158,0.6708214945594526,0.6575922880398617,0.6483485250413867,0.6715644588373312,0.661079551120838,0.008889852078424543,37
34.616999769210814,3.86190138769555,0.007852745056152344,0.0011564533561228653,10,0.01,256,5000,2,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6566942939980815,0.6708024558165173,0.6566267517910017,0.648558857820481,0.670941619961306,0.6607247958774775,0.008797632451381631,47
35.685949611663816,4.555511061772372,0.006664800643920899,0.00029707924687706133,10,0.01,256,5000,5,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6567069864933718,0.6708024558165173,0.6566267517910017,0.648558857820481,0.6710141485058214,0.6607418400854386,0.008813346256906,45
35.00054383277893,4.513487705437177,0.006525087356567383,0.00020141289990356078,10,0.01,256,8000,2,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6566942939980815,0.6708024558165173,0.6566267517910017,0.648558857820481,0.670941619961306,0.6607247958774775,0.008797632451381631,47
34.91543250083923,4.275254507524752,0.00659632682800293,0.00026429053838898387,10,0.01,256,8000,5,"{'interactions': 10, 'learning_rate': 0.01, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6567069864933718,0.6708024558165173,0.6566267517910017,0.648558857820481,0.6710141485058214,0.6607418400854386,0.008813346256906,45
18.021139764785765,1.845623479587306,0.007228660583496094,0.0007771853763765878,10,0.05,128,5000,2,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6576294589189258,0.6703237674227164,0.6581362521237265,0.6497972827180797,0.6722725187531617,0.661631855987322,0.00845066366182471,27
18.102265787124633,1.8045845085888064,0.010974931716918945,0.005781748773585887,10,0.05,128,5000,5,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6576294589189258,0.6703364599180064,0.6581362521237265,0.6497972827180797,0.6723314481955804,0.6616461803748638,0.008468127658485952,25
17.556798219680786,1.8669368460641074,0.009460973739624023,0.0034562755212514504,10,0.05,128,8000,2,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6576294589189258,0.6703237674227164,0.6581362521237265,0.6497972827180797,0.6722725187531617,0.661631855987322,0.00845066366182471,27
18.185431671142577,1.7462007453927164,0.008870601654052734,0.002771621833302874,10,0.05,128,8000,5,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 128, 'max_rounds': 8000, 'min_samples_leaf': 5}",0.6576294589189258,0.6703364599180064,0.6581362521237265,0.6497972827180797,0.6723314481955804,0.6616461803748638,0.008468127658485952,25
17.949942350387573,1.259965856501416,0.008541440963745118,0.0034347854251961124,10,0.05,256,5000,2,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 2}",0.6581802225538387,0.6700182409289457,0.6574934678979596,0.6489831498058956,0.6716882106664104,0.6612726583706099,0.008483471041770925,35
18.21147699356079,1.4714295779277335,0.006623029708862305,0.00037536038369020806,10,0.05,256,5000,5,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 5000, 'min_samples_leaf': 5}",0.6581802225538387,0.6700182409289457,0.6575143198545077,0.6489831498058956,0.6716927437004426,0.661277735368726,0.008482730128098701,33
18.272724437713624,1.3661556072337906,0.006404685974121094,0.0003613290130275691,10,0.05,256,8000,2,"{'interactions': 10, 'learning_rate': 0.05, 'max_bins': 256, 'max_rounds': 8000, 'min_samples_leaf': 2}",0.6581802225538387,0.6700182409289457,0.6574934678979596,0.6489831498058956,0.6716882106664104,0.6612726583706099,0.008483471041770925,35
